code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600012,2014-12-31,6.130000,6.190000,6.020000,6.180000,0.008157,6139339.000000,37571673.000000,7203408000.000000,7203408000.000000,0.005267,12.250784,2014-09-30,2014-10-30,11.752931,4.327067,6.767687,1.391740,5.997508
sh600012,2014-12-30,6.390000,6.420000,6.080000,6.130000,-0.040689,8447142.000000,52374898.000000,7145128000.000000,7145128000.000000,0.007247,12.151663,2014-09-30,2014-10-30,11.657838,4.292057,6.712930,1.380479,5.948982
sh600012,2014-12-29,6.420000,6.490000,6.300000,6.390000,0.012678,17554114.000000,112191182.000000,7448184000.000000,7448184000.000000,0.015060,12.667073,2014-09-30,2014-10-30,12.152303,4.474104,6.997658,1.439032,6.201307
sh600012,2014-12-26,6.100000,6.340000,6.050000,6.310000,0.031046,16731425.000000,104785147.000000,7354936000.000000,7354936000.000000,0.014354,12.508491,2014-09-30,2014-10-30,12.000165,4.418091,6.910052,1.421016,6.123671
sh600012,2014-12-25,6.200000,6.400000,6.020000,6.120000,0.042589,14593489.000000,90046742.000000,7133472000.000000,7133472000.000000,0.012520,12.131845,2014-09-30,2014-10-30,11.638826,4.285057,6.701982,1.378228,5.939280
sh600012,2014-12-24,5.920000,5.990000,5.810000,5.870000,-0.011785,4900776.000000,28759359.000000,6842072000.000000,6842072000.000000,0.004205,11.636268,2014-09-30,2014-10-30,11.163388,4.110016,6.428211,1.321928,5.696665
sh600012,2014-12-23,6.150000,6.150000,5.900000,5.940000,-0.037277,8123281.000000,48531181.000000,6923664000.000000,6923664000.000000,0.006969,11.775037,2014-09-30,2014-10-30,11.296518,4.159030,6.504871,1.337693,5.764601
sh600012,2014-12-22,6.310000,6.460000,6.090000,6.170000,-0.017516,12921738.000000,80833975.000000,7191752000.000000,7191752000.000000,0.011086,12.230971,2014-09-30,2014-10-30,11.733923,4.320069,6.756742,1.389489,5.987808
sh600012,2014-12-19,6.210000,6.350000,6.050000,6.280000,0.016181,12295499.000000,76040251.000000,7319968000.000000,7319968000.000000,0.010549,12.449028,2014-09-30,2014-10-30,11.943119,4.397089,6.877203,1.414261,6.094560
sh600012,2014-12-18,6.270000,6.350000,6.130000,6.180000,-0.020602,8294539.000000,51651745.000000,7203408000.000000,7203408000.000000,0.007116,12.250798,2014-09-30,2014-10-30,11.752945,4.327072,6.767695,1.391742,5.997515
sh600012,2014-12-17,6.180000,6.340000,6.070000,6.310000,0.019386,16847523.000000,105664364.000000,7354936000.000000,7354936000.000000,0.014454,12.508498,2014-09-30,2014-10-30,12.000172,4.418094,6.910056,1.421017,6.123675
sh600012,2014-12-16,6.280000,6.280000,6.120000,6.190000,-0.015898,10011557.000000,61698407.000000,7215064000.000000,7215064000.000000,0.008589,12.270620,2014-09-30,2014-10-30,11.771961,4.334074,6.778645,1.393993,6.007219
sh600012,2014-12-15,6.250000,6.380000,6.060000,6.290000,-0.020249,18076473.000000,111882096.000000,7331624000.000000,7331624000.000000,0.015508,12.468850,2014-09-30,2014-10-30,11.962135,4.404090,6.888153,1.416513,6.104264
sh600012,2014-12-12,6.150000,6.520000,6.130000,6.420000,0.082631,32365176.000000,206826413.000000,7483152000.000000,7483152000.000000,0.027767,12.726550,2014-09-30,2014-10-30,12.209362,4.495111,7.030514,1.445789,6.230424
sh600012,2014-12-11,5.820000,6.000000,5.710000,5.930000,0.020654,19027623.000000,112072410.000000,6912008000.000000,6912008000.000000,0.016324,11.755205,2014-09-30,2014-10-30,11.277492,4.152025,6.493915,1.335440,5.754892
sh600012,2014-12-10,5.470000,5.820000,5.360000,5.810000,0.046847,20149885.000000,114269635.000000,6772136000.000000,6772136000.000000,0.017287,11.517326,2014-09-30,2014-10-30,11.049280,4.068005,6.362504,1.308416,5.638435
sh600012,2014-12-09,5.480000,5.940000,5.350000,5.550000,0.012774,23990535.000000,135320801.000000,6469080000.000000,6469080000.000000,0.020582,11.001919,2014-09-30,2014-10-30,10.554819,3.885959,6.077779,1.249864,5.386112
sh600012,2014-12-08,5.370000,5.480000,5.300000,5.480000,0.022388,10276484.000000,55598859.000000,6387488000.000000,6387488000.000000,0.008816,10.863153,2014-09-30,2014-10-30,10.421692,3.836946,6.001120,1.234099,5.318178
sh600012,2014-12-05,5.570000,5.600000,5.230000,5.360000,-0.037702,10005409.000000,54248717.000000,6247616000.000000,6247616000.000000,0.008584,10.625275,2014-09-30,2014-10-30,10.193480,3.752926,5.869709,1.207075,5.201722
sh600012,2014-12-04,5.470000,5.630000,5.450000,5.570000,0.018282,9952927.000000,55308665.000000,6492392000.000000,6492392000.000000,0.008539,11.041564,2014-09-30,2014-10-30,10.592852,3.899962,6.099679,1.254367,5.405521
